会社名,路線系統,所属基地,形式,番台,編成名,号車,略号,車両番号,車両ID,始,終,見出しアイコン,車体アイコン,左パンタ,右パンタ,左台車,中台車,右台車,左方向,右方向,ATACS-ID,ラッピング,消滅済,見出し特記事項,編成情報(選択),編成情報(記述),車両情報(選択),車両情報(記述),集電装置,主電動機,制御装置,補助電源装置,空気圧縮機,動力台車,付随台車
JR北海道,札幌近郊エリア,札幌運転所,731系,,G-101,1,Tc,クハ731-101,731-01,1996/12/12,2005/06/12,731,731-1,,,t,,t,苫小牧・滝川,小樽,,,◯,登場時,,,wc,,,,,,,,
JR北海道,札幌近郊エリア,札幌運転所,731系,,G-101,2,M,モハ731-101,731-02,1996/12/12,2005/06/12,731,731-2,,◇,m,,m,苫小牧・滝川,小樽,,,◯,登場時,,,,,,,,,,,
JR北海道,札幌近郊エリア,札幌運転所,731系,,G-101,3,Tc,クハ731-201,731-03,1996/12/12,2005/06/12,731,731-3,,,t,,t,苫小牧・滝川,小樽,,,◯,登場時,,,,,,,,,,,
JR北海道,札幌近郊エリア,札幌運転所,731系,,G-102,1,Tc,クハ731-102,731-04,1996/12/10,2004/12/27,731,731-1,,,t,,t,苫小牧・滝川,小樽,,,◯,登場時,,,wc,,,,,,,,
JR北海道,札幌近郊エリア,札幌運転所,731系,,G-102,2,M,モハ731-102,731-05,1996/12/10,2004/12/27,731,731-2,,◇,m,,m,苫小牧・滝川,小樽,,,◯,登場時,,,,,,,,,,,
JR北海道,札幌近郊エリア,札幌運転所,731系,,G-102,3,Tc,クハ731-202,731-06,1996/12/10,2004/12/27,731,731-3,,,t,,t,苫小牧・滝川,小樽,,,◯,登場時,,,,,,,,,,,
JR北海道,札幌近郊エリア,札幌運転所,731系,,G-103,1,Tc,クハ731-103,731-07,1996/12/13,2005/09/18,731,731-1,,,t,,t,苫小牧・滝川,小樽,,,◯,登場時,,,wc,,,,,,,,
JR北海道,札幌近郊エリア,札幌運転所,731系,,G-103,2,M,モハ731-103,731-08,1996/12/13,2005/09/18,731,731-2,,◇,m,,m,苫小牧・滝川,小樽,,,◯,登場時,,,,,,,,,,,
JR北海道,札幌近郊エリア,札幌運転所,731系,,G-103,3,Tc,クハ731-203,731-09,1996/12/13,2005/09/18,731,731-3,,,t,,t,苫小牧・滝川,小樽,,,◯,登場時,,,,,,,,,,,
JR北海道,札幌近郊エリア,札幌運転所,731系,,G-104,1,Tc,クハ731-104,731-10,1996/12/14,2005/09/11,731,731-1,,,t,,t,苫小牧・滝川,小樽,,,◯,登場時,,,wc,,,,,,,,
