会社名,路線系統,所属基地,形式,番台,編成名,組成順,略号,車両番号,車両ID,始,終,見出しアイコン,編成アイコン,車体アイコン,pl,pr,bl,bc,br,左方向,右方向,ATACS-ID,ラッピング,消滅済,見出し特記事項,変遷変更点,編成情報(選択),編成情報(記述),車両情報(選択),車両情報(記述),集電装置,主電動機,制御装置,補助電源装置,空気圧縮機,動力台車,付随台車
JR東日本,山手線,山手電車区,103系,,ﾔﾃ100,1,Tc,クハ103-754,103-101,1987/04/11,1987/04/12,103jy,103jy,jy,,,t,,t,外回り,内回り,,,◯,おもしろ電車,,,11日は内回り、12日は外回りで運転,1,,,,,,,,
JR東日本,山手線,山手電車区,103系,,ﾔﾃ100,2,T,サハ103-274,103-102,1987/04/11,1987/04/12,103jy,103jy,jy,,,t,,t,外回り,内回り,,,◯,おもしろ電車,,,11日は内回り、12日は外回りで運転,2,,,,,,,,
JR東日本,山手線,山手電車区,103系,,ﾔﾃ100,3,M',モハ102-267,103-103,1987/04/11,1987/04/12,103jy,103jy,jb,,,m,,m,外回り,内回り,,,◯,おもしろ電車,,,11日は内回り、12日は外回りで運転,3,,,,,,,,
JR東日本,山手線,山手電車区,103系,,ﾔﾃ100,4,M,モハ103-142,103-104,1987/04/11,1987/04/12,103jy,103jy,jb,◇,,m,,m,外回り,内回り,,,◯,おもしろ電車,,,11日は内回り、12日は外回りで運転,4,,,,,,,,
JR東日本,山手線,山手電車区,103系,,ﾔﾃ100,5,M',モハ102-512,103-105,1987/04/11,1987/04/12,103jy,103jy,jc,,,m,,m,外回り,内回り,,,◯,おもしろ電車,,,11日は内回り、12日は外回りで運転,5,,,,,,,,
JR東日本,山手線,山手電車区,103系,,ﾔﾃ100,6,M,モハ103-356,103-106,1987/04/11,1987/04/12,103jy,103jy,jc,◇,,m,,m,外回り,内回り,,,◯,おもしろ電車,,,11日は内回り、12日は外回りで運転,6,,,,,,,,
JR東日本,山手線,山手電車区,103系,,ﾔﾃ100,7,M',モハ102-1005,103-107,1987/04/11,1987/04/12,103jy,103jy,jj,,,m,,m,外回り,内回り,,,◯,おもしろ電車,,,11日は内回り、12日は外回りで運転,7,,,,,,,,
JR東日本,山手線,山手電車区,103系,,ﾔﾃ100,8,M,モハ103-1005,103-108,1987/04/11,1987/04/12,103jy,103jy,jj,◇,,m,,m,外回り,内回り,,,◯,おもしろ電車,,,11日は内回り、12日は外回りで運転,8,,,,,,,,
JR東日本,山手線,山手電車区,103系,,ﾔﾃ100,9,T,サハ103-379,103-109,1987/04/11,1987/04/12,103jy,103jy,jk,,,t,,t,外回り,内回り,,,◯,おもしろ電車,,,11日は内回り、12日は外回りで運転,9,,,,,,,,
JR東日本,山手線,山手電車区,103系,,ﾔﾃ100,10,Tc,クハ103-321,103-110,1987/04/11,1987/04/12,103jy,103jy,jk,,,t,,t,外回り,内回り,,,◯,おもしろ電車,,,11日は内回り、12日は外回りで運転,10,,,,,,,,
JR東日本,山手線,山手電車区,103系,,ﾔﾃ200,1,Tc,クハ103-322,103-201,1987/04/11,1987/04/12,103jy,103jk,jk,,,t,,t,外回り,内回り,,,◯,おもしろ電車,,,11日は外回り、12日は内回りで運転,1,,,,,,,,
JR東日本,山手線,山手電車区,103系,,ﾔﾃ200,2,T,サハ103-380,103-202,1987/04/11,1987/04/12,103jy,103jk,jk,,,t,,t,外回り,内回り,,,◯,おもしろ電車,,,11日は外回り、12日は内回りで運転,2,,,,,,,,
JR東日本,山手線,山手電車区,103系,,ﾔﾃ200,3,M',モハ103-1039,103-203,1987/04/11,1987/04/12,103jy,103jk,jj,,,m,,m,外回り,内回り,,,◯,おもしろ電車,,,11日は外回り、12日は内回りで運転,3,,,,,,,,
JR東日本,山手線,山手電車区,103系,,ﾔﾃ200,4,M,モハ102-1039,103-204,1987/04/11,1987/04/12,103jy,103jk,jj,◇,,m,,m,外回り,内回り,,,◯,おもしろ電車,,,11日は外回り、12日は内回りで運転,4,,,,,,,,
JR東日本,山手線,山手電車区,103系,,ﾔﾃ200,5,M',モハ103-511,103-205,1987/04/11,1987/04/12,103jy,103jk,jc,,,m,,m,外回り,内回り,,,◯,おもしろ電車,,,11日は外回り、12日は内回りで運転,5,,,,,,,,
JR東日本,山手線,山手電車区,103系,,ﾔﾃ200,6,M,モハ102-355,103-206,1987/04/11,1987/04/12,103jy,103jk,jc,◇,,m,,m,外回り,内回り,,,◯,おもしろ電車,,,11日は外回り、12日は内回りで運転,6,,,,,,,,
JR東日本,山手線,山手電車区,103系,,ﾔﾃ200,7,M',モハ103-280,103-207,1987/04/11,1987/04/12,103jy,103jk,jb,,,m,,m,外回り,内回り,,,◯,おもしろ電車,,,11日は外回り、12日は内回りで運転,7,,,,,,,,
