車両ID-01,車両ID-02,車両ID-03,車両ID-04,車両ID-05,車両ID-06,車両ID-07,車両ID-08,車両ID-09,車両ID-10,車両ID-11,車両ID-12,車両ID-13,車両ID-14,日付,スタンプ,記述
kh40-2015,,,,,,,,,,,,,,1986/11/28,kaizo,大宮工場にてトイレ撤去等の改造を行い、キハ40-1005に改番。
kh40-2012,,,,,,,,,,,,,,1986/12/24,kaizo,大宮工場にてトイレ撤去等の改造を行い、キハ40-1002に改番。
24kn-2,,,,,,,,,,,,,,1987/01/26,kaizo,土崎にてカニ24-501に改造。
kh40-2013,,,,,,,,,,,,,,1987/01/27,kaizo,大宮工場にてトイレ撤去等の改造を行い、キハ40-1003に改番。
24kn-21,,,,,,,,,,,,,,1987/02/02,kaizo,土崎にてカニ24-503に改造。
kh40-2014,,,,,,,,,,,,,,1987/02/18,kaizo,大宮工場にてトイレ撤去等の改造を行い、キハ40-1004に改番。
kh40-2016,,,,,,,,,,,,,,1987/03/09,kaizo,大宮工場にてトイレ撤去等の改造を行い、キハ40-1006に改番。
24kn-19,,,,,,,,,,,,,,1987/03/21,kaizo,土崎にてカニ24-502に改造。
kh40-2011,,,,,,,,,,,,,,1987/03/30,kaizo,大宮工場にてトイレ撤去等の改造を行い、キハ40-1001に改番。
kh40-2017,,,,,,,,,,,,,,1987/03/31,kaizo,大宮工場にてトイレ撤去等の改造を行い、キハ40-1007に改番。
24kn-24,,,,,,,,,,,,,,1987/09/09,kaizo,土崎にてカニ24-509に改造。
24kn-1,,,,,,,,,,,,,,1987/10/29,kaizo,土崎にてカニ24-504に改造。
24kn-20,,,,,,,,,,,,,,1987/11/30,kaizo,土崎にてカニ24-507に改造。
24kn-8,,,,,,,,,,,,,,1987/12/24,kaizo,土崎にてカニ24-506に改造。
24kn-22,,,,,,,,,,,,,,1988/02/01,kaizo,土崎にてカニ24-508に改造。
24kn-5,,,,,,,,,,,,,,1988/03/07,kaizo,土崎にてカニ24-505に改造。
24kn-113,,,,,,,,,,,,,,1990/10/09,kaizo,土崎にてカニ24-510に改造。
24kn-115,,,,,,,,,,,,,,1990/12/25,kaizo,土崎にてカニ24-511に改造。
kh40-2087,,,,,,,,,,,,,,1991/08/29,kaizo,宇都宮工場にてトイレ撤去等の改造を行い、キハ40-1008に改番。
50ohf-2301,,,,,,,,,,,,,,1995/11/16,kaizo,スヤ50-5001に改造。
kh40-2139,,,,,,,,,,,,,,1995/12/01,kaizo,郡山工場にてトイレ撤去等の改造を行い、キハ40-1009に改番。
kh110-301,kh110-302,kh110-303,,,,,,,,,,,,1995/12/18,haichi,南秋田運転所に配置。
kh110-304,kh110-305,kh110-306,,,,,,,,,,,,1995/12/25,haichi,南秋田運転所に配置。
209-3001,209-3002,209-3003,209-3004,,,,,,,,,,,1996/01/12,haichi,川越電車区に配置。
209-3005,209-3006,209-3007,209-3008,,,,,,,,,,,1996/01/24,haichi,川越電車区に配置。
209-3009,209-3010,209-3011,209-3012,,,,,,,,,,,1996/02/08,haichi,川越電車区に配置。
kh110-309,kh110-310,kh110-311,,,,,,,,,,,,1996/02/15,haichi,南秋田運転所に配置。
kh110-307,kh110-308,,,,,,,,,,,,,1996/02/16,haichi,南秋田運転所に配置。
kh110-312,kh110-313,kh110-314,,,,,,,,,,,,1996/02/16,haichi,南秋田運転所に配置。
209-3013,209-3014,209-3015,209-3016,,,,,,,,,,,1996/02/24,haichi,川越電車区に配置。
kh110-301,,,,,,,,,,,,,,1997/11/17,tenkai,KYにてキハ110-223に改番し新津運輸区に転属
kh110-302,,,,,,,,,,,,,,1997/12/03,tenkai,KYにてキハ110-224に改番し新津運輸区に転属
24kn-113,,,,,,,,,,,,,,2000/02/25,kaizo,大宮工場にてカヤ27-501に改造。
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
